=== CUS ===
Tatal ap jobs: 127
clock 0: T3, server deadline:0
clock 1: T3, server deadline:0
clock 2: T6, server deadline:0
clock 3: T6, server deadline:0
clock 4: T6, server deadline:0
clock 5: T6, server deadline:0
clock 6: T2, server deadline:0
clock 7: T2, server deadline:0
clock 8: T2, server deadline:0
clock 9: T2, server deadline:0
clock 10: T2, server deadline:0
clock 11: TA1, server deadline:46
clock 12: TA1, server deadline:46
clock 13: TA1, server deadline:46
clock 14: TA1, server deadline:46
clock 15: T3, server deadline:46
clock 16: T3, server deadline:46
clock 17: TA1, server deadline:46
clock 18: TA1, server deadline:46
clock 19: TA1, server deadline:46
TA1 finishs: 11 ~ 20
Current total_response_time: 9
clock 20: T2, server deadline:46
clock 21: T2, server deadline:46
clock 22: T7, server deadline:46
clock 23: T7, server deadline:46
clock 24: T7, server deadline:46
clock 25: T7, server deadline:46
clock 26: T7, server deadline:46
clock 27: T5, server deadline:46
clock 28: T5, server deadline:46
clock 29: T5, server deadline:46
clock 30: T3, server deadline:46
clock 31: T3, server deadline:46
clock 32: T5, server deadline:46
clock 33: T5, server deadline:46
clock 34: T9, server deadline:46
clock 35: T9, server deadline:46
clock 36: T9, server deadline:46
clock 37: T9, server deadline:46
clock 38: T9, server deadline:46
clock 39: T9, server deadline:46
clock 40: T9, server deadline:46
clock 41: T9, server deadline:46
clock 42: T9, server deadline:46
clock 43: T9, server deadline:46
clock 44: T9, server deadline:46
clock 45: T3, server deadline:46
For TA2, New deadline: 46 + 35 = 81
clock 46: T3, server deadline:81
clock 47: TA2, server deadline:81
clock 48: TA2, server deadline:81
clock 49: TA2, server deadline:81
clock 50: TA2, server deadline:81
clock 51: TA2, server deadline:81
clock 52: TA2, server deadline:81
clock 53: TA2, server deadline:81
TA2 finishs: 24 ~ 54
Current total_response_time: 39
clock 54: T6, server deadline:81
clock 55: T6, server deadline:81
clock 56: T6, server deadline:81
clock 57: T6, server deadline:81
clock 58: T9, server deadline:81
clock 59: T9, server deadline:81
clock 60: T3, server deadline:81
clock 61: T3, server deadline:81
clock 62: T9, server deadline:81
clock 63: T9, server deadline:81
